255;Любовь лябовь?
256;Любовь цыплёнка
257;Магазинчик ужасив
258;Магические отряды
259;Магия древних
260;Магия на проках
261;Макросс
262;Маленькие женщины близ Вакакусаямы
263;Маленькие охотники
264;Маленькие проказники
265;Мальчик-мармелад
266;Мальчишки есть мальчишки
267;Мама из четвертого класса
268;Манускрипт ниндзя
269;Мария Холик
270;Мастер Муши
271;Махоро
272;Медицинские карты чёрного джека
273;Меланхолия Харуки Судзумии
274;Мелодия русалки
275;Метрополис
276;Меч чужака
277;Мёд и клевер
278;Мёртвый демон
279;Миками – уничтожительница духов
280;Милый дом 44
281;Мир ускорений
282;Могила светлячков
283;Могучая Бёрди
284;Мой сосед Тоторо
285;Молчаливая Морита
286;Молодо-зелёно
287;Мононоке
288;Монохромный фактор
289;Монстр могучей природы
290;Мосидара
291;Моя богиня!
292;Моя горничная
293;Моя девушка – совершенное оружие
294;Моя малышка
295;Мститель
296;Мунто
297;Мы всегда
298;Мы ждём тебя летом
299;Мы с тобой
300;Навсикая из долины ветров
301;Нана и Каору
302;Наруто
303;Настоящие неистовые охотники
304;Настоящие слёзы
305;Наши соседи – семья Ямада
306;Не бойся меня, Ромашка!
307;Не сдавайся
308;Небеса МАР
309;Небесный замок Лапута
310;Небо и земля
311;Некратоголик
312;Необыкновенная схватка
313;Несносные прищельцы
314;Нодамэ Кантабиле
315;Ночные войны
316;Ну и ну! Земляничные яйца
317;О, Богиня!
318;Обан звёздные гонки
319;Оборотни
320;Огнеглазая Шана
321;Огни пёстрой арены
322;Одному лишь богу виден мир
323;Однофунтовое Евангелие
324;Озорной поцелуй
325;Оружейная школа
326;Оружейницы
327;Осторожно! Золотая рыбка!
328;Отвязная троица
329;Отныне Мао король демонов
330;Охота на приведений
331;Охотник и охотник
332;Охотник на вампиров
333;Охотник на ведьм
334;Охотница на ведьм Робин
335;Очень приятно, Бог
336;Паладин на поле
337;Перо ангела
338;Передовая полиция
339;Перекати-поле Цукикаге Ран
340;Перекрёсток духов
341;Перекрёстки в лабиринтах чужих городов
342;Персона 4
343;Песня насекомых
344;Печать ветра
345;Пёс, я и секретная служба
346;Пингвиний барабан
347;Пираты чёрной лагуны
348;Пламенный лабиринт
349;Пластиковая малышка
350;Повелитель призраков
351;Повесть о Гэндзи
352;Повесть о стране цветочных облаков
353;Подделка
354;Подлодка №6
355;Подозрительная Церера
356;Подпольный шоколад
357;Подручный Луизы-Нулизы
358;Поедающая сны
359;Пожиратель душ
360;Покемоны
361;Полифония
362;Полиция будущего
363;Полудракон
364;Порко Россо
365;Портрет малышки Козетты
366;Последний серафим
367;Последняя субмарина
368;Последняя фантазия
369;Поцелуй принцессы роз
370;Президент студсовета – горничная
371;Призрак в доспехах
372;Приключения Джинга
373;Принц тенниса
374;Принцесса Цу
375;Принцесса-вампир Мию
376;Принцесса-мононоке
377;Проект «Идол»
378;Проект кирамеки
379;Прочти или умри
380;Прощай унылый учитель
381;Путешествие Кино
382;Пчелиная почта
383;Работа!!!
384;Развилка фортуны
385;Разгон! Дуэль-вэ
386;Райская школа
387;Рамма
388;Ранма
389;Реборн
390;Рейн – принц эльфов
391;Ресторан ужасов
392;Ринне Лагранж
393;Роза Версаля
394;Розарио вампир
395;Рубаки
396;Рыцарь-вампир
397;Сад тысячи цветов девушки-самурая
398;Сакура - собирательница карт
399;Самурай Чамплу
400;Самурай х
401;Сверхъестественное
402;Связь душ
403;Святой Сейя
404;Священные звери
405;Седьмий дух
406;Сейлор мун
407;Семья Арканы
408;Сенгоку Ёко
409;Сердца Пандоры
410;Серебреноволосый Агито
411;Сёстры Минами
412;Си в кубе
413;Сигуфури
414;Сильнейший в истории Кэнбиты
415;Сильнейший ученик Кеничи
416;Синий дракон
417;Синий экзорцист
418;Сказаня земноморья
419;Скалы Кен
420;Сквозь огонь
421;Скет данс
422;Сладкая кровь
423;Сладкие капли
424;Сломанный меч
425;Слэм-данк
426;Смеющаяся мишень
427;Смирительная рубашка
428;Сногсшибательно!
429;Сны
430;Собачья жизнь
431;Современная оккультная академия
432;Сокрушитель
433;Солдаты будущего
434;Сомнение
435;Сочащиеся воспоминания
436;Спецкласс А
437;Спмдграфер
438;Спираль
439;Стальная тревога
440;Стальной алхимик
441;Стигматы
442;Стимбой
443;Столоначальник Одзи
444;Странники
445;Старик Зет
446;Стрелок с чёрной скалы
447;Стремись к вершине!
448;Судьба
449;Супердевушка
450;Счастливая звезда
451;Счастье
452;Таинственная игра
453;Там и сям
454;Тамаюра
455;Тантеки
456;Те ещё странники
457;Те, кто охотятся на эльфов
458;Темнее чёрного
459;Тетрадь смерти
460;Тёмный дворецкий
461;Тихая – королева Каруты
462;Токийская школа истребителей нечисти
463;Токио мяу мяу
464;Токко
465;Тора дора
466;Торико
467;Триган
468;Тристия
469;Трогательный комплекс
470;Тыквенные ножницы
471;Тэнти – лишний!
472;Убежище ангела
473;Ублюдок!! Сокрушитель тьмы
474;Убойный ангел Докуро-тян
475;Уважаемый старший брат…
476;Удивительный детектив лабиринт
477;Уж не зомби ли это?
478;Унесённая призраками
479;Унесённые волками
480;Универсальная современная девушка-кошка
481;Уровень И
482;Уровень Си
483;Уроки совремнного искусства
484;Усопшие
485;Утраченные небесами
486;Учитель чародей Нэгима
487;Фаза луны
488;Факт
489;Фальшивая история
490;Фантастические дни
491;Фильм об отаку
492;Флейта и ганец
493;Фури-кури
494;Хак//
495;Хаос вершина
496;Ханаан
497;Хармагеддон
498;Хаятэ, боевой дворецкий
499;Хвост феи
500;Хельсинг
501;Хеталия из страны Оси
502;Хикару и Го
503;Ходячий замок
504;Хроника крыльев
505;Хроники Джинга
506;Хроники круглого кота Пуфика
507;Хулиган и очкастая
508;Цветочки после ягодок
509;Цветы для Элджернона
510;Чара хранители
511;Чёрная библия
512;Чёрный кот
513;Чирик-чирик
514;Чобиты
515;Чудо звёздного неба
516;Чувственные слова
517;Шафл
518;Шёпот сердца
